country,count,continent
Algeria,6,Africa
Argentina,11,South America
Australia,38,Oceania
Austria,7,Europe
Bahamas,1,North America
Bangladesh,3,Asia
Belgium,5,Europe
Benin,1,Africa
Botswana,1,Africa
Brazil,20,South America
Cameroon,1,Africa
Canada,21,North America
Chile,8,South America
China,37,Asia
Colombia,3,South America
Cook Islands,1,Oceania
Costa Rica,1,North America
Cuba,6,North America
Czech Republic,2,Europe
Denmark,4,Europe
Dominican Republic,2,North America
Ecuador,2,South America
Egypt,2,Africa
Eritrea,1,Africa
Ethiopia,5,Africa
Finland,4,Europe
France,19,Europe
Gambia,1,Africa
Germany,46,Europe
Ghana,5,Africa
Greece,3,Europe
Guatemala,1,North America
Hungary,2,Europe
Iceland,1,Europe
India,31,Asia
Indonesia,9,Asia
Iran,4,Asia
Ireland,2,Europe
Israel,1,Asia
Italy,13,Europe
Jamaica,6,North America
Japan,31,Asia
Kenya,2,Africa
Madagascar,1,Africa
Malaysia,5,Asia
Maldives,3,Asia
Mauritania,1,Africa
Mexico,14,North America
Morocco,7,Africa
Mozambique,1,Africa
Nepal,2,Asia
Netherlands,16,Europe
New Zealand,14,Oceania
Nigeria,7,Africa
Norway,13,Europe
Pakistan,6,Asia
Palau,1,Oceania
Peru,4,South America
Philippines,5,Asia
Poland,3,Europe
Portugal,2,Europe
Republic of Korea,11,Asia
Romania,1,Europe
Russian Federation,12,Asia
Saudi Arabia,3,Asia
Senegal,6,Africa
Singapore,2,Asia
Solomon Islands,1,Oceania
South Africa,15,Africa
Spain,17,Europe
Sudan,5,Africa
Sweden,5,Europe
Switzerland,10,Europe
Thailand,5,Asia
Tonga,1,Africa
Trinidad and Tobago,2,North America
Turkey,2,Asia
Uganda,3,Africa
Ukraine,3,Europe
United Kingdom (of Great Britain and Northern Ireland),46,Europe
United Republic of Tanzania,6,Africa
Uruguay,4,South America
USA,75,North America
Uzbekistan,1,Asia
Venezuela,2,South America
Zambia,4,Africa
Zimbabwe,1,Africa
